Number,Incident.Type,Creation.Date,Latitude,Longitude,Total.population,One.race.1,White,Black.or.African.American,American.Indian.and.Alaska.Native,Asian,Hispanic.or.Latino..of.any.race.,Median.household.income..dollars.,groupedtype,newBorough
129,Fire-Haz Mat,41922.48598,40.65955352,-73.93410726,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Fir,BROOKLYN
130,Fire-7th Alarm,41898.38874,40.60850653,-73.92083277,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Fir,BROOKLYN
131,Fire-4th Alarm,41910.84819,40.73980335,-73.94625169,"2,358,582","2,280,420","885,312","427,999","9,181","617,230","660,550","64,509",Fir,QUEENS
132,Fire-2nd Alarm,41918.13027,40.61309202,-74.08013692,"479,458","470,053","351,632","51,411","1,019","45,761","89,066","79,201",Fir,STATEN ISLAND
133,Law Enforcement-Other,41917.77291,NA,NA,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Law,BROOKLYN
134,Fire-2nd Alarm,41916.60017,NA,NA,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Fir,BROOKLYN
135,Fire-4th Alarm,41910.84819,40.73980335,-73.94625169,"2,358,582","2,280,420","885,312","427,999","9,181","617,230","660,550","64,509",Fir,QUEENS
136,Fire-2nd Alarm,41912.80882,NA,NA,"2,358,582","2,280,420","885,312","427,999","9,181","617,230","660,550","64,509",Fir,QUEENS
137,Law Enforcement-Suspicious Package,41911.89301,40.60201959,-73.93730687,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Law,BROOKLYN
138,Fire-Sensitive Location,41911.26851,NA,NA,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Fir,BROOKLYN
139,Law Enforcement-Suspicious Package,41908.75216,40.70552764,-74.0154747,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Law,MANHATTAN
140,Fire-Other,41900.69483,NA,NA,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Fir,MANHATTAN
141,Fire-Manhole,41906.61698,40.76178184,-73.98498213,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Fir,MANHATTAN
142,Fire-2nd Alarm,41906.23675,40.84305496,-73.93922716,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Fir,MANHATTAN
143,Fire-3rd Alarm,41905.73628,40.59252681,-73.92555074,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Fir,BROOKLYN
