YEARMONTH,INCIDENTCLASSIFICATION,INCIDENTBOROUGH,INCIDENTCOUNT,AVERAGERESPONSETIME
2011/09,All Fire/Emergency Incidents,Manhattan,10798,4:39
2011/09,All Fire/Emergency Incidents,Bronx,7945,4:41
2011/09,All Fire/Emergency Incidents,Staten Island,2110,4:47
2011/09,All Fire/Emergency Incidents,Brooklyn,11433,4:16
2011/09,All Fire/Emergency Incidents,Queens,8082,4:51
2011/09,False Alarm,New York City,2106,4:33
2011/09,False Alarm,Manhattan,463,4:33
2011/09,False Alarm,Bronx,602,4:35
2011/09,False Alarm,Staten Island,166,4:58
2011/09,False Alarm,Brooklyn,422,4:07
2011/09,False Alarm,Queens,453,4:45
2011/09,Medical Emergencies,New York City,17976,4:11
2011/09,Medical Emergencies,Manhattan,4811,4:19
2011/09,Medical Emergencies,Bronx,3333,4:16
2011/09,Medical Emergencies,Staten Island,859,4:20
2011/09,Medical Emergencies,Brooklyn,5248,3:53
2011/09,Medical Emergencies,Queens,3725,4:23
2011/09,Medical False Alarm,New York City,294,4:17
2011/09,Medical False Alarm,Manhattan,104,4:20
2011/09,Medical False Alarm,Bronx,48,4:20
2011/09,Medical False Alarm,Staten Island,13,4:15
2011/09,Medical False Alarm,Brooklyn,78,4:10
2011/09,Medical False Alarm,Queens,51,4:21
2011/09,NonMedical Emergencies,New York City,17041,5:01
2011/09,NonMedical Emergencies,Manhattan,4703,4:59
2011/09,NonMedical Emergencies,Bronx,3385,5:05
2011/09,NonMedical Emergencies,Staten Island,924,5:05
2011/09,NonMedical Emergencies,Brooklyn,4774,4:45
2011/09,NonMedical Emergencies,Queens,3255,5:24
2011/09,NonStructural Fires,New York City,1022,4:21
2011/09,NonStructural Fires,Manhattan,261,4:21
2011/09,NonStructural Fires,Bronx,166,4:36
2011/09,NonStructural Fires,Staten Island,59,5:13
2011/09,NonStructural Fires,Brooklyn,282,3:54
2011/09,NonStructural Fires,Queens,254,4:30
2011/09,Structural Fires,New York City,1929,4:03
2011/09,Structural Fires,Manhattan,456,4:09
2011/09,Structural Fires,Bronx,411,4:06
2011/09,Structural Fires,Staten Island,89,4:36
2011/09,Structural Fires,Brooklyn,629,3:41
2011/09,Structural Fires,Queens,344,4:23
2011/08,All Fire/Emergency Incidents,New York City,46322,4:48
2011/08,All Fire/Emergency Incidents,Manhattan,11529,4:40
2011/08,All Fire/Emergency Incidents,Bronx,8463,4:48
2011/08,All Fire/Emergency Incidents,Staten Island,3290,5:26
2011/08,All Fire/Emergency Incidents,Brooklyn,12752,4:23
2011/08,All Fire/Emergency Incidents,Queens,10288,5:15
2011/08,False Alarm,New York City,2520,4:35
2011/08,False Alarm,Manhattan,508,4:34
2011/08,False Alarm,Bronx,641,4:35
2011/08,False Alarm,Staten Island,270,4:59
2011/08,False Alarm,Brooklyn,471,4:03
2011/08,False Alarm,Queens,630,4:48
2011/08,Medical Emergencies,New York City,18360,4:14
2011/08,Medical Emergencies,Manhattan,5009,4:16
2011/08,Medical Emergencies,Bronx,3373,4:19
2011/08,Medical Emergencies,Staten Island,931,4:27
2011/08,Medical Emergencies,Brooklyn,5299,3:52
2011/08,Medical Emergencies,Queens,3748,4:34
2011/08,Medical False Alarm,New York City,368,4:07
2011/08,Medical False Alarm,Manhattan,93,4:17
2011/08,Medical False Alarm,Bronx,86,4:21
2011/08,Medical False Alarm,Staten Island,8,4:20
2011/08,Medical False Alarm,Brooklyn,118,3:40
2011/08,Medical False Alarm,Queens,63,4:25
2011/08,NonMedical Emergencies,New York City,21969,5:18
2011/08,NonMedical Emergencies,Manhattan,5211,5:01
2011/08,NonMedical Emergencies,Bronx,3751,5:15
2011/08,NonMedical Emergencies,Staten Island,1923,6:02
2011/08,NonMedical Emergencies,Brooklyn,5913,4:56
2011/08,NonMedical Emergencies,Queens,5171,5:51
2011/08,NonStructural Fires,New York City,1284,4:24
2011/08,NonStructural Fires,Manhattan,313,4:27
2011/08,NonStructural Fires,Bronx,198,4:49
2011/08,NonStructural Fires,Staten Island,63,4:37
2011/08,NonStructural Fires,Brooklyn,379,4:00
2011/08,NonStructural Fires,Queens,331,4:32
2011/08,Structural Fires,New York City,1821,4:01
2011/08,Structural Fires,Manhattan,395,4:07
2011/08,Structural Fires,Bronx,414,4:06
2011/08,Structural Fires,Staten Island,95,4:38
2011/08,Structural Fires,Brooklyn,572,3:33
2011/08,Structural Fires,Queens,345,4:24
2011/07,All Fire/Emergency Incidents,New York City,45137,4:38
2011/07,All Fire/Emergency Incidents,Manhattan,11974,4:39
2011/07,All Fire/Emergency Incidents,Bronx,9223,4:48
2011/07,All Fire/Emergency Incidents,Staten Island,2338,4:47
2011/07,All Fire/Emergency Incidents,Brooklyn,12553,4:14
2011/07,All Fire/Emergency Incidents,Queens,9049,4:55
2011/07,False Alarm,New York City,2752,4:27
2011/07,False Alarm,Manhattan,593,4:22
2011/07,False Alarm,Bronx,757,4:38
2011/07,False Alarm,Staten Island,272,4:25
2011/07,False Alarm,Brooklyn,553,3:57
2011/07,False Alarm,Queens,577,4:47
2011/07,Medical Emergencies,New York City,20208,4:12
2011/07,Medical Emergencies,Manhattan,5467,4:14
2011/07,Medical Emergencies,Bronx,3701,4:19
2011/07,Medical Emergencies,Staten Island,934,4:27
2011/07,Medical Emergencies,Brooklyn,5886,3:51
2011/07,Medical Emergencies,Queens,4220,4:30
2011/07,Medical False Alarm,New York City,377,4:20
2011/07,Medical False Alarm,Manhattan,109,4:37
2011/07,Medical False Alarm,Bronx,79,4:49
2011/07,Medical False Alarm,Staten Island,9,3:41
2011/07,Medical False Alarm,Brooklyn,107,3:41
2011/07,Medical False Alarm,Queens,73,4:24
2011/07,NonMedical Emergencies,New York City,18262,5:07
2011/07,NonMedical Emergencies,Manhattan,5003,5:03
2011/07,NonMedical Emergencies,Bronx,3948,5:16
2011/07,NonMedical Emergencies,Staten Island,906,5:15
2011/07,NonMedical Emergencies,Brooklyn,4963,4:46
2011/07,NonMedical Emergencies,Queens,3442,5:28
2011/07,NonStructural Fires,New York City,1684,4:26
2011/07,NonStructural Fires,Manhattan,359,4:21
2011/07,NonStructural Fires,Bronx,330,4:47
2011/07,NonStructural Fires,Staten Island,109,4:38
2011/07,NonStructural Fires,Brooklyn,501,3:58
2011/07,NonStructural Fires,Queens,385,4:47
2011/07,Structural Fires,New York City,1854,4:02
2011/07,Structural Fires,Manhattan,443,4:10
2011/07,Structural Fires,Bronx,408,4:10
2011/07,Structural Fires,Staten Island,108,4:35
2011/07,Structural Fires,Brooklyn,543,3:31
2011/07,Structural Fires,Queens,352,4:22
2011/06,All Fire/Emergency Incidents,New York City,40916,4:37
2011/06,All Fire/Emergency Incidents,Manhattan,10926,4:43
2011/06,All Fire/Emergency Incidents,Bronx,8104,4:41
2011/06,All Fire/Emergency Incidents,Staten Island,2145,4:45
2011/06,All Fire/Emergency Incidents,Brooklyn,11329,4:15
2011/06,All Fire/Emergency Incidents,Queens,8412,4:52
2011/06,False Alarm,New York City,2397,4:33
2011/06,False Alarm,Manhattan,515,4:38
2011/06,False Alarm,Bronx,688,4:30
2011/06,False Alarm,Staten Island,222,4:34
2011/06,False Alarm,Brooklyn,392,4:17
2011/06,False Alarm,Queens,580,4:43
2011/06,Medical Emergencies,New York City,19028,4:14
2011/06,Medical Emergencies,Manhattan,5156,4:20
2011/06,Medical Emergencies,Bronx,3441,4:21
2011/06,Medical Emergencies,Staten Island,961,4:27
2011/06,Medical Emergencies,Brooklyn,5461,3:52
2011/06,Medical Emergencies,Queens,4009,4:28
2011/06,Medical False Alarm,New York City,371,4:22
2011/06,Medical False Alarm,Manhattan,103,4:30
2011/06,Medical False Alarm,Bronx,83,4:37
2011/06,Medical False Alarm,Staten Island,8,3:34
2011/06,Medical False Alarm,Brooklyn,115,3:52
2011/06,Medical False Alarm,Queens,62,4:50
2011/06,NonMedical Emergencies,New York City,15760,5:05
2011/06,NonMedical Emergencies,Manhattan,4382,5:09
2011/06,NonMedical Emergencies,Bronx,3236,5:06
2011/06,NonMedical Emergencies,Staten Island,760,5:07
2011/06,NonMedical Emergencies,Brooklyn,4348,4:46
2011/06,NonMedical Emergencies,Queens,3034,5:27
2011/06,NonStructural Fires,New York City,1452,4:19
2011/06,NonStructural Fires,Manhattan,335,4:19
2011/06,NonStructural Fires,Bronx,225,4:18
2011/06,NonStructural Fires,Staten Island,103,5:02
2011/06,NonStructural Fires,Brooklyn,438,3:57
2011/06,NonStructural Fires,Queens,351,4:36
2011/06,Structural Fires,New York City,1908,4:00
2011/06,Structural Fires,Manhattan,435,4:06
2011/06,Structural Fires,Bronx,431,4:04
2011/06,Structural Fires,Staten Island,91,4:41
2011/06,Structural Fires,Brooklyn,575,3:35
2011/06,Structural Fires,Queens,376,4:17
2011/05,All Fire/Emergency Incidents,New York City,40071,4:36
2011/05,All Fire/Emergency Incidents,Manhattan,10933,4:38
2011/05,All Fire/Emergency Incidents,Bronx,7995,4:44
2011/05,All Fire/Emergency Incidents,Staten Island,2132,4:55
2011/05,All Fire/Emergency Incidents,Brooklyn,11037,4:14
2011/05,All Fire/Emergency Incidents,Queens,7974,4:50
2011/05,False Alarm,New York City,2238,4:33
2011/05,False Alarm,Manhattan,519,4:28
2011/05,False Alarm,Bronx,616,4:38
2011/05,False Alarm,Staten Island,173,4:51
2011/05,False Alarm,Brooklyn,408,4:18
2011/05,False Alarm,Queens,522,4:37
2011/05,Medical Emergencies,New York City,18625,4:14
2011/05,Medical Emergencies,Manhattan,4988,4:18
2011/05,Medical Emergencies,Bronx,3431,4:20
2011/05,Medical Emergencies,Staten Island,941,4:28
2011/05,Medical Emergencies,Brooklyn,5387,3:54
2011/05,Medical Emergencies,Queens,3878,4:32
2011/05,Medical False Alarm,New York City,344,4:28
2011/05,Medical False Alarm,Manhattan,98,4:28
2011/05,Medical False Alarm,Bronx,70,4:40
2011/05,Medical False Alarm,Staten Island,14,4:30
2011/05,Medical False Alarm,Brooklyn,87,4:05
2011/05,Medical False Alarm,Queens,75,4:45
2011/05,NonMedical Emergencies,New York City,15520,5:02
2011/05,NonMedical Emergencies,Manhattan,4565,4:58
2011/05,NonMedical Emergencies,Bronx,3254,5:09
2011/05,NonMedical Emergencies,Staten Island,802,5:27
2011/05,NonMedical Emergencies,Brooklyn,4106,4:45
2011/05,NonMedical Emergencies,Queens,2793,5:18
2011/05,NonStructural Fires,New York City,1247,4:24
2011/05,NonStructural Fires,Manhattan,310,4:25
2011/05,NonStructural Fires,Bronx,180,4:40
2011/05,NonStructural Fires,Staten Island,82,4:48
2011/05,NonStructural Fires,Brooklyn,394,3:54
2011/05,NonStructural Fires,Queens,281,4:47
2011/05,Structural Fires,New York City,2097,4:04
2011/05,Structural Fires,Manhattan,453,4:15
2011/05,Structural Fires,Bronx,444,4:07
2011/05,Structural Fires,Staten Island,120,4:25
2011/05,Structural Fires,Brooklyn,655,3:41
2011/05,Structural Fires,Queens,425,4:19
2011/04,All Fire/Emergency Incidents,New York City,36778,4:34
2011/04,All Fire/Emergency Incidents,Manhattan,9589,4:42
2011/04,All Fire/Emergency Incidents,Bronx,7332,4:43
2011/04,All Fire/Emergency Incidents,Staten Island,1932,4:47
2011/04,All Fire/Emergency Incidents,Brooklyn,10549,4:10
2011/04,All Fire/Emergency Incidents,Queens,7376,4:48
2011/04,False Alarm,New York City,1936,4:25
2011/04,False Alarm,Manhattan,440,4:26
2011/04,False Alarm,Bronx,559,4:33
2011/04,False Alarm,Staten Island,158,4:31
2011/04,False Alarm,Brooklyn,341,3:51
2011/04,False Alarm,Queens,438,4:36
2011/04,Medical Emergencies,New York City,16511,4:14
2011/04,Medical Emergencies,Manhattan,4305,4:24
2011/04,Medical Emergencies,Bronx,3059,4:23
2011/04,Medical Emergencies,Staten Island,828,4:31
2011/04,Medical Emergencies,Brooklyn,4787,3:50
2011/04,Medical Emergencies,Queens,3532,4:26
2011/04,Medical False Alarm,New York City,274,4:11
2011/04,Medical False Alarm,Manhattan,69,4:12
2011/04,Medical False Alarm,Bronx,61,4:20
2011/04,Medical False Alarm,Staten Island,13,4:31
2011/04,Medical False Alarm,Brooklyn,84,3:55
2011/04,Medical False Alarm,Queens,47,4:21
2011/04,NonMedical Emergencies,New York City,14736,5:00
2011/04,NonMedical Emergencies,Manhattan,4066,5:04
2011/04,NonMedical Emergencies,Bronx,3054,5:05
2011/04,NonMedical Emergencies,Staten Island,752,5:07
2011/04,NonMedical Emergencies,Brooklyn,4148,4:38
2011/04,NonMedical Emergencies,Queens,2716,5:18
2011/04,NonStructural Fires,New York City,1191,4:22
2011/04,NonStructural Fires,Manhattan,267,4:20
2011/04,NonStructural Fires,Bronx,152,4:35
2011/04,NonStructural Fires,Staten Island,72,4:47
2011/04,NonStructural Fires,Brooklyn,458,3:57
2011/04,NonStructural Fires,Queens,242,4:41
2011/04,Structural Fires,New York City,2130,3:58
2011/04,Structural Fires,Manhattan,442,4:01
2011/04,Structural Fires,Bronx,447,4:07
2011/04,Structural Fires,Staten Island,109,4:42
2011/04,Structural Fires,Brooklyn,731,3:36
2011/04,Structural Fires,Queens,401,4:15
2011/03,All Fire/Emergency Incidents,New York City,38210,4:31
2011/03,All Fire/Emergency Incidents,Manhattan,10221,4:38
2011/03,All Fire/Emergency Incidents,Bronx,7737,4:45
2011/03,All Fire/Emergency Incidents,Staten Island,1973,4:35
2011/03,All Fire/Emergency Incidents,Brooklyn,10754,4:03
2011/03,All Fire/Emergency Incidents,Queens,7525,4:47
2011/03,False Alarm,New York City,1941,4:28
2011/03,False Alarm,Manhattan,389,4:38
2011/03,False Alarm,Bronx,535,4:40
2011/03,False Alarm,Staten Island,154,4:07
2011/03,False Alarm,Brooklyn,412,3:48
2011/03,False Alarm,Queens,451,4:47
2011/03,Medical Emergencies,New York City,16821,4:14
2011/03,Medical Emergencies,Manhattan,4495,4:19
2011/03,Medical Emergencies,Bronx,3125,4:26
2011/03,Medical Emergencies,Staten Island,836,4:25
2011/03,Medical Emergencies,Brooklyn,4894,3:52
2011/03,Medical Emergencies,Queens,3471,4:27
2011/03,Medical False Alarm,New York City,254,4:07
2011/03,Medical False Alarm,Manhattan,66,3:55
2011/03,Medical False Alarm,Bronx,56,4:24
2011/03,Medical False Alarm,Staten Island,12,4:38
2011/03,Medical False Alarm,Brooklyn,78,3:39
2011/03,Medical False Alarm,Queens,42,4:50
2011/03,NonMedical Emergencies,New York City,15671,4:51
2011/03,NonMedical Emergencies,Manhattan,4394,4:57
2011/03,NonMedical Emergencies,Bronx,3293,5:06
2011/03,NonMedical Emergencies,Staten Island,790,4:48
2011/03,NonMedical Emergencies,Brooklyn,4279,4:20
2011/03,NonMedical Emergencies,Queens,2915,5:12
2011/03,NonStructural Fires,New York City,1208,4:30
2011/03,NonStructural Fires,Manhattan,329,4:26
2011/03,NonStructural Fires,Bronx,191,4:53
2011/03,NonStructural Fires,Staten Island,76,4:56
2011/03,NonStructural Fires,Brooklyn,348,4:07
2011/03,NonStructural Fires,Queens,264,4:43
2011/03,Structural Fires,New York City,2315,3:58
2011/03,Structural Fires,Manhattan,548,4:13
2011/03,Structural Fires,Bronx,537,4:05
2011/03,Structural Fires,Staten Island,105,4:29
2011/03,Structural Fires,Brooklyn,743,3:32
2011/03,Structural Fires,Queens,382,4:12
2011/02,All Fire/Emergency Incidents,New York City,36196,4:44
2011/02,All Fire/Emergency Incidents,Manhattan,9202,4:47
2011/02,All Fire/Emergency Incidents,Bronx,7296,4:59
2011/02,All Fire/Emergency Incidents,Staten Island,2076,4:50
2011/02,All Fire/Emergency Incidents,Brooklyn,10147,4:14
2011/02,All Fire/Emergency Incidents,Queens,7475,5:04
2011/02,False Alarm,New York City,1413,4:39
2011/02,False Alarm,Manhattan,280,4:41
2011/02,False Alarm,Bronx,372,4:58
2011/02,False Alarm,Staten Island,104,4:15
2011/02,False Alarm,Brooklyn,300,4:02
2011/02,False Alarm,Queens,357,4:55
2011/02,Medical Emergencies,New York City,14846,4:28
2011/02,Medical Emergencies,Manhattan,3749,4:35
2011/02,Medical Emergencies,Bronx,2891,4:41
2011/02,Medical Emergencies,Staten Island,783,4:36
2011/02,Medical Emergencies,Brooklyn,4293,4:05
2011/02,Medical Emergencies,Queens,3130,4:40
2011/02,Medical False Alarm,New York City,243,4:25
2011/02,Medical False Alarm,Manhattan,48,4:28
2011/02,Medical False Alarm,Bronx,57,4:52
2011/02,Medical False Alarm,Staten Island,12,4:01
2011/02,Medical False Alarm,Brooklyn,88,4:07
2011/02,Medical False Alarm,Queens,38,4:30
2011/02,NonMedical Emergencies,New York City,16199,5:03
2011/02,NonMedical Emergencies,Manhattan,4254,5:02
2011/02,NonMedical Emergencies,Bronx,3300,5:16
2011/02,NonMedical Emergencies,Staten Island,1041,5:06
2011/02,NonMedical Emergencies,Brooklyn,4352,4:31
2011/02,NonMedical Emergencies,Queens,3252,5:31
2011/02,NonStructural Fires,New York City,1377,4:21
2011/02,NonStructural Fires,Manhattan,393,4:19
2011/02,NonStructural Fires,Bronx,206,4:43
2011/02,NonStructural Fires,Staten Island,36,4:49
2011/02,NonStructural Fires,Brooklyn,421,3:53
2011/02,NonStructural Fires,Queens,321,4:45
2011/02,Structural Fires,New York City,2118,4:04
2011/02,Structural Fires,Manhattan,478,4:05
2011/02,Structural Fires,Bronx,470,4:21
2011/02,Structural Fires,Staten Island,100,4:29
2011/02,Structural Fires,Brooklyn,693,3:35
2011/02,Structural Fires,Queens,377,4:25
2011/01,All Fire/Emergency Incidents,New York City,41813,4:50
2011/01,All Fire/Emergency Incidents,Manhattan,10911,4:52
2011/01,All Fire/Emergency Incidents,Bronx,8258,5:04
2011/01,All Fire/Emergency Incidents,Staten Island,2058,5:05
2011/01,All Fire/Emergency Incidents,Brooklyn,12075,4:22
2011/01,All Fire/Emergency Incidents,Queens,8511,5:12
2011/01,False Alarm,New York City,1477,4:44
2011/01,False Alarm,Manhattan,332,4:58
2011/01,False Alarm,Bronx,366,4:50
2011/01,False Alarm,Staten Island,76,4:53
2011/01,False Alarm,Brooklyn,354,4:15
2011/01,False Alarm,Queens,349,4:53
2011/01,Medical Emergencies,New York City,16747,4:36
2011/01,Medical Emergencies,Manhattan,4078,4:35
2011/01,Medical Emergencies,Bronx,3298,4:48
2011/01,Medical Emergencies,Staten Island,845,4:47
2011/01,Medical Emergencies,Brooklyn,4881,4:16
2011/01,Medical Emergencies,Queens,3645,4:52
2011/01,Medical False Alarm,New York City,272,4:36
2011/01,Medical False Alarm,Manhattan,69,4:31
2011/01,Medical False Alarm,Bronx,58,5:34
2011/01,Medical False Alarm,Staten Island,16,4:05
2011/01,Medical False Alarm,Brooklyn,76,3:53
2011/01,Medical False Alarm,Queens,53,4:53
2011/01,NonMedical Emergencies,New York City,18962,5:09
2011/01,NonMedical Emergencies,Manhattan,5308,5:09
2011/01,NonMedical Emergencies,Bronx,3767,5:22
2011/01,NonMedical Emergencies,Staten Island,992,5:23
2011/01,NonMedical Emergencies,Brooklyn,5316,4:37
2011/01,NonMedical Emergencies,Queens,3579,5:40
2011/01,NonStructural Fires,New York City,2014,4:20
2011/01,NonStructural Fires,Manhattan,538,4:15
2011/01,NonStructural Fires,Bronx,253,4:56
2011/01,NonStructural Fires,Staten Island,34,4:23
2011/01,NonStructural Fires,Brooklyn,693,3:57
2011/01,NonStructural Fires,Queens,496,4:42
2011/01,Structural Fires,New York City,2341,4:09
2011/01,Structural Fires,Manhattan,586,4:15
2011/01,Structural Fires,Bronx,516,4:16
2011/01,Structural Fires,Staten Island,95,4:45
2011/01,Structural Fires,Brooklyn,755,3:44
2011/01,Structural Fires,Queens,389,4:29
2010/12,All Fire/Emergency Incidents,New York City,43763,5:02
2010/12,All Fire/Emergency Incidents,Manhattan,10732,5:01
2010/12,All Fire/Emergency Incidents,Bronx,8677,5:06
2010/12,All Fire/Emergency Incidents,Staten Island,2376,5:03
2010/12,All Fire/Emergency Incidents,Brooklyn,12646,4:38
2010/12,All Fire/Emergency Incidents,Queens,9332,5:31
2010/12,False Alarm,New York City,1652,4:53
2010/12,False Alarm,Manhattan,304,4:45
2010/12,False Alarm,Bronx,402,5:02
2010/12,False Alarm,Staten Island,152,4:12
2010/12,False Alarm,Brooklyn,359,4:42
2010/12,False Alarm,Queens,435,5:12
2010/12,Medical Emergencies,New York City,17654,4:38
2010/12,Medical Emergencies,Manhattan,4468,4:42
2010/12,Medical Emergencies,Bronx,3355,4:45
2010/12,Medical Emergencies,Staten Island,906,4:43
2010/12,Medical Emergencies,Brooklyn,5118,4:20
2010/12,Medical Emergencies,Queens,3807,4:53
2010/12,Medical False Alarm,New York City,325,4:34
2010/12,Medical False Alarm,Manhattan,78,4:35
2010/12,Medical False Alarm,Bronx,58,4:53
2010/12,Medical False Alarm,Staten Island,16,4:54
2010/12,Medical False Alarm,Brooklyn,101,4:18
2010/12,Medical False Alarm,Queens,72,4:36
2010/12,NonMedical Emergencies,New York City,20074,5:25
2010/12,NonMedical Emergencies,Manhattan,4984,5:18
2010/12,NonMedical Emergencies,Bronx,4042,5:26
2010/12,NonMedical Emergencies,Staten Island,1070,5:23
2010/12,NonMedical Emergencies,Brooklyn,5808,4:59
2010/12,NonMedical Emergencies,Queens,4170,6:07
2010/12,NonStructural Fires,New York City,1358,5:16
2010/12,NonStructural Fires,Manhattan,324,5:11
2010/12,NonStructural Fires,Bronx,208,5:02
2010/12,NonStructural Fires,Staten Island,110,5:38
2010/12,NonStructural Fires,Brooklyn,371,4:41
2010/12,NonStructural Fires,Queens,345,6:03
2010/12,Structural Fires,New York City,2700,4:14
2010/12,Structural Fires,Manhattan,574,4:15
2010/12,Structural Fires,Bronx,612,4:24
2010/12,Structural Fires,Staten Island,122,4:49
2010/12,Structural Fires,Brooklyn,889,3:51
2010/12,Structural Fires,Queens,503,4:30
2010/11,All Fire/Emergency Incidents,New York City,39277,4:33
2010/11,All Fire/Emergency Incidents,Manhattan,10084,4:42
2010/11,All Fire/Emergency Incidents,Bronx,7765,4:41
2010/11,All Fire/Emergency Incidents,Staten Island,2109,4:43
2010/11,All Fire/Emergency Incidents,Brooklyn,11241,4:03
2010/11,All Fire/Emergency Incidents,Queens,8078,4:52
2010/11,False Alarm,New York City,1745,4:23
2010/11,False Alarm,Manhattan,341,4:28
2010/11,False Alarm,Bronx,392,4:35
2010/11,False Alarm,Staten Island,122,4:21
2010/11,False Alarm,Brooklyn,386,3:47
2010/11,False Alarm,Queens,504,4:38
2010/11,Medical Emergencies,New York City,16848,4:17
2010/11,Medical Emergencies,Manhattan,4341,4:25
2010/11,Medical Emergencies,Bronx,3209,4:26
2010/11,Medical Emergencies,Staten Island,845,4:31
2010/11,Medical Emergencies,Brooklyn,4867,3:52
2010/11,Medical Emergencies,Queens,3586,4:31
2010/11,Medical False Alarm,New York City,318,4:17
2010/11,Medical False Alarm,Manhattan,79,4:20
2010/11,Medical False Alarm,Bronx,67,4:33
2010/11,Medical False Alarm,Staten Island,13,4:36
2010/11,Medical False Alarm,Brooklyn,83,3:35
2010/11,Medical False Alarm,Queens,76,4:42
2010/11,NonMedical Emergencies,New York City,16681,4:51
2010/11,NonMedical Emergencies,Manhattan,4454,5:00
2010/11,NonMedical Emergencies,Bronx,3383,4:59
2010/11,NonMedical Emergencies,Staten Island,910,4:52
2010/11,NonMedical Emergencies,Brooklyn,4754,4:19
2010/11,NonMedical Emergencies,Queens,3180,5:19
2010/11,NonStructural Fires,New York City,1323,4:31
2010/11,NonStructural Fires,Manhattan,303,4:29
2010/11,NonStructural Fires,Bronx,208,4:42
2010/11,NonStructural Fires,Staten Island,117,5:44
2010/11,NonStructural Fires,Brooklyn,412,4:03
2010/11,NonStructural Fires,Queens,283,4:43
2010/11,Structural Fires,New York City,2362,4:01
2010/11,Structural Fires,Manhattan,566,4:13
2010/11,Structural Fires,Bronx,506,4:06
2010/11,Structural Fires,Staten Island,102,4:27
2010/11,Structural Fires,Brooklyn,739,3:31
2010/11,Structural Fires,Queens,449,4:23
2010/10,All Fire/Emergency Incidents,New York City,42655,4:34
2010/10,All Fire/Emergency Incidents,Manhattan,11249,4:41
2010/10,All Fire/Emergency Incidents,Bronx,8131,4:44
2010/10,All Fire/Emergency Incidents,Staten Island,2171,4:41
2010/10,All Fire/Emergency Incidents,Brooklyn,12254,4:05
2010/10,All Fire/Emergency Incidents,Queens,8850,4:57
2010/10,False Alarm,New York City,2131,4:28
2010/10,False Alarm,Manhattan,448,4:40
2010/10,False Alarm,Bronx,461,4:37
2010/10,False Alarm,Staten Island,142,4:06
2010/10,False Alarm,Brooklyn,431,3:58
2010/10,False Alarm,Queens,649,4:37
2010/10,Medical Emergencies,New York City,18731,4:18
2010/10,Medical Emergencies,Manhattan,5162,4:25
2010/10,Medical Emergencies,Bronx,3389,4:26
2010/10,Medical Emergencies,Staten Island,880,4:28
2010/10,Medical Emergencies,Brooklyn,5411,3:54
2010/10,Medical Emergencies,Queens,3889,4:34
2010/10,Medical False Alarm,New York City,413,4:18
2010/10,Medical False Alarm,Manhattan,112,4:07
2010/10,Medical False Alarm,Bronx,90,4:45
2010/10,Medical False Alarm,Staten Island,15,4:50
2010/10,Medical False Alarm,Brooklyn,112,3:57
2010/10,Medical False Alarm,Queens,84,4:23
2010/10,NonMedical Emergencies,New York City,17844,4:55
2010/10,NonMedical Emergencies,Manhattan,4713,4:59
2010/10,NonMedical Emergencies,Bronx,3456,5:03
2010/10,NonMedical Emergencies,Staten Island,939,4:56
2010/10,NonMedical Emergencies,Brooklyn,5216,4:21
2010/10,NonMedical Emergencies,Queens,3520,5:29
2010/10,NonStructural Fires,New York City,1229,4:19
2010/10,NonStructural Fires,Manhattan,303,4:18
2010/10,NonStructural Fires,Bronx,199,4:37
2010/10,NonStructural Fires,Staten Island,87,4:44
2010/10,NonStructural Fires,Brooklyn,368,3:53
2010/10,NonStructural Fires,Queens,272,4:34
2010/10,Structural Fires,New York City,2307,4:03
2010/10,Structural Fires,Manhattan,511,4:05
2010/10,Structural Fires,Bronx,536,4:12
2010/10,Structural Fires,Staten Island,108,4:37
2010/10,Structural Fires,Brooklyn,716,3:33
2010/10,Structural Fires,Queens,436,4:26
2010/09,All Fire/Emergency Incidents,New York City,43130,4:43
2010/09,All Fire/Emergency Incidents,Manhattan,10872,4:42
2010/09,All Fire/Emergency Incidents,Bronx,8017,4:49
2010/09,All Fire/Emergency Incidents,Staten Island,2385,5:01
2010/09,All Fire/Emergency Incidents,Brooklyn,11873,4:10
2010/09,All Fire/Emergency Incidents,Queens,9983,5:18
2010/09,False Alarm,New York City,2321,4:25
2010/09,False Alarm,Manhattan,431,4:33
2010/09,False Alarm,Bronx,603,4:40
2010/09,False Alarm,Staten Island,180,4:22
2010/09,False Alarm,Brooklyn,485,3:54
2010/09,False Alarm,Queens,622,4:31
2010/09,Medical Emergencies,New York City,18093,4:18
2010/09,Medical Emergencies,Manhattan,4853,4:24
2010/09,Medical Emergencies,Bronx,3283,4:25
2010/09,Medical Emergencies,Staten Island,835,4:25
2010/09,Medical Emergencies,Brooklyn,5265,3:56
2010/09,Medical Emergencies,Queens,3857,4:34
2010/09,Medical False Alarm,New York City,462,4:15
2010/09,Medical False Alarm,Manhattan,118,4:20
2010/09,Medical False Alarm,Bronx,77,4:39
2010/09,Medical False Alarm,Staten Island,25,4:00
2010/09,Medical False Alarm,Brooklyn,157,3:46
2010/09,Medical False Alarm,Queens,85,4:47
2010/09,NonMedical Emergencies,New York City,18634,5:12
2010/09,NonMedical Emergencies,Manhattan,4652,5:02
2010/09,NonMedical Emergencies,Bronx,3395,5:13
2010/09,NonMedical Emergencies,Staten Island,1111,5:31
2010/09,NonMedical Emergencies,Brooklyn,4855,4:31
2010/09,NonMedical Emergencies,Queens,4621,6:02
