YEARMONTH,INCIDENTCLASSIFICATION,INCIDENTBOROUGH,INCIDENTCOUNT,AVERAGERESPONSETIME
FY 2011,Structural Fires,Queens,4859,4:23
FY 2010,All Fire/Emergency Incidents,New York City,489354,4:33
FY 2010,All Fire/Emergency Incidents,Manhattan,125685,4:38
FY 2010,All Fire/Emergency Incidents,Bronx,98322,4:44
FY 2010,All Fire/Emergency Incidents,Staten Island,27893,4:54
FY 2010,All Fire/Emergency Incidents,Brooklyn,137657,4:04
FY 2010,All Fire/Emergency Incidents,Queens,99797,4:49
FY 2010,False Alarm,New York City,26543,4:16
FY 2010,False Alarm,Manhattan,4717,4:23
FY 2010,False Alarm,Bronx,7033,4:30
FY 2010,False Alarm,Staten Island,2229,4:16
FY 2010,False Alarm,Brooklyn,5470,3:46
FY 2010,False Alarm,Queens,7094,4:21
FY 2010,Medical Emergencies,New York City,208735,4:17
FY 2010,Medical Emergencies,Manhattan,54468,4:21
FY 2010,Medical Emergencies,Bronx,39254,4:24
FY 2010,Medical Emergencies,Staten Island,10522,4:31
FY 2010,Medical Emergencies,Brooklyn,60190,3:55
FY 2010,Medical Emergencies,Queens,44301,4:34
FY 2010,Medical False Alarm,New York City,4557,4:17
FY 2010,Medical False Alarm,Manhattan,1163,4:17
FY 2010,Medical False Alarm,Bronx,910,4:22
FY 2010,Medical False Alarm,Staten Island,157,4:29
FY 2010,Medical False Alarm,Brooklyn,1233,3:52
FY 2010,Medical False Alarm,Queens,1094,4:40
FY 2010,NonMedical Emergencies,New York City,205735,4:53
FY 2010,NonMedical Emergencies,Manhattan,54840,4:56
FY 2010,NonMedical Emergencies,Bronx,42373,5:07
FY 2010,NonMedical Emergencies,Staten Island,12838,5:21
FY 2010,NonMedical Emergencies,Brooklyn,57032,4:21
FY 2010,NonMedical Emergencies,Queens,38652,5:15
FY 2010,NonStructural Fires,New York City,17189,4:18
FY 2010,NonStructural Fires,Manhattan,4293,4:17
FY 2010,NonStructural Fires,Bronx,2843,4:34
FY 2010,NonStructural Fires,Staten Island,961,4:39
FY 2010,NonStructural Fires,Brooklyn,5166,3:52
FY 2010,NonStructural Fires,Queens,3926,4:37
FY 2010,Structural Fires,New York City,26595,3:59
FY 2010,Structural Fires,Manhattan,6204,4:08
FY 2010,Structural Fires,Bronx,5909,4:05
FY 2010,Structural Fires,Staten Island,1186,4:30
FY 2010,Structural Fires,Brooklyn,8566,3:32
FY 2010,Structural Fires,Queens,4730,4:20
2017/06,All Fire/Emergency Incidents,New York City,51605,5:00
2017/06,All Fire/Emergency Incidents,Manhattan,13989,5:19
2017/06,All Fire/Emergency Incidents,Bronx,10347,5:18
